书	aa
交	ab
丁	ad
闲	ae
丰	af
鬼	ag
来	ah
闪	aj
承	ak
六	al
门	am
缺	an
间	ao
片	ap
闻	aq
帮	at
那	au
北	av
未	aw
版	ax
闹	az
妹	ba
妇	bb
姑	bc
如	bd
她	be
姐	bf
好	bh
娘	bi
录	bk
面	bm
女	bn
张	bp
留	bq
努	br
动	bs
氏	bss
群	bt
建	bu
奶	bv
弱	bw
云	by
迎	bz
灯	ca
不	cb
否	cd
飞	cf
古	cg
火	ch
支	ci
及	cj
展	cl
贵	co
克	cp
眉	cq
烟	cr
属	ct
还	cu
尾	cv
业	cy
味	da
史	db
虽	dc
器	dd
吃	de
号	df
中	dg
吐	dgt
只	dh
叫	di
哈	dj
口	dk
里	dl
民	dm
吗	dn
员	do
兄	dp
别	ds
啊	dt
无	du
唤	dx
由	dy
杨	ea
柳	eb
极	ec
林	ee
本	ef
干	eg
平	eh
根	ei
见	ej
每	ek
穿	el
木	em
午	en
机	eo
楼	ep
权	er
格	es
窗	et
空	eu
年	ev
须	ew
也	ey
与	fa
互	fb
事	fd
视	fe
福	ff
社	fg
忘	fh
一	fi
求	fk
开	fl
天	fm
于	fn
更	fo
万	fp
且	fq
示	fs
百	fu
望	fv
亡	fw
下	fy
场	ga
声	gc
地	ge
款	gf
高	gg
志	gh
养	gi
句	gj
去	gk
够	gl
美	gm
块	gn
亮	go
列	gp
着	gq
餐	gr
士	gs
土	gt
差	gu
死	gv
境	gx
就	gy
情	ha
八	hb
怀	hc
总	hd
条	he
夫	hf
谷	hg
卷	hh
子	hi
恰	hj
公	hk
并	hl
送	hm
快	hn
道	ho
分	hp
单	hq
曾	hr
务	hs
必	ht
半	hu
前	hv
冬	hw
心	hx
处	hy
登	hz
盘	ia
义	ib
部	id
新	ie
组	if
收	ih
良	ii
给	ij
永	ik
立	il
商	im
主	in
继	ip
细	iq
经	ir
为	is
维	iu
予	iv
预	iw
颜	ix
即	iz
们	ja
会	jb
做	jc
斗	jd
他	je
使	jf
个	jg
份	jh
位	ji
从	jj
付	jk
传	jm
全	jn
但	jo
代	jp
件	jq
人	jr
信	js
任	jt
入	ju
仍	jv
作	jw
你	jx
倒	jy
何	jz
活	ka
流	kb
台	kd
杂	ke
滑	kf
法	kg
注	ki
九	kj
治	kk
满	kl
母	km
测	ko
刻	kp
泪	kq
没	kr
水	ks
通	kt
过	ku
能	kv
学	kw
派	kx
酒	ky
河	kz
世	la
名	ld
而	le
方	lf
警	lg
放	lh
药	li
花	lj
落	lk
多	ll
英	lm
草	lo
蓝	lp
千	lq
生	ls
萨	lt
雅	lu
散	lv
带	lw
牙	ly
节	lz
专	ma
巴	mb
独	mc
大	md
二	me
同	mf
光	mg
户	mh
太	mi
内	mj
夺	mk
两	ml
央	mm
码	mn
犹	mo
远	mp
破	mr
石	ms
所	mt
达	mu
肩	mv
确	mx
犯	mz
成	na
区	nb
环	nc
右	nd
现	ne
感	nf
在	ng
黄	nh
玉	ni
验	nj
雄	nk
弄	nl
马	nm
巨	nn
朝	no
班	np
真	nq
友	nr
十	ns
才	nt
左	nu
有	nv
王	nw
辛	nx
电	oa
贝	ob
川	oc
知	od
晨	of
影	og
败	oh
自	oi
几	oj
时	ok
星	ol
映	om
早	on
州	oo
则	op
最	oq
日	or
是	ot
明	ov
顺	ow
暗	ox
尤	oy
短	oz
精	pa
数	pb
长	pc
刀	pd
儿	pe
师	pf
黑	ph
料	pj
米	pm
越	pn
划	pp
趣	pq
紧	pr
跃	pt
足	pu
起	pv
逃	pw
行	px
走	pz
睛	qa
臣	qc
告	qd
耳	qe
考	qf
特	qg
思	qh
眼	qi
井	qj
老	ql
目	qm
牛	qn
都	qo
先	qp
齐	qq
取	qr
食	qs
田	qt
进	qu
遇	qv
饭	qx
简	ra
固	rc
回	rd
欢	re
非	rf
等	rg
悲	rh
之	ri
对	rk
了	rl
因	rm
国	rn
皮	rp
七	rq
双	rr
劝	rs
第	rt
竹	ru
笔	rv
瓦	rw
鸡	rx
又	ry
话	sa
尝	sb
谈	sc
加	sd
许	se
证	sf
各	sg
说	sh
止	si
认	sj
该	sk
力	sl
出	sm
计	sn
训	so
试	sp
讲	sq
发	sr
尚	ss
诉	st
边	su
此	sv
语	sw
言	sy
谢	sz
朱	ta
雪	tb
蛋	tc
欣	te
革	tg
失	th
衣	ti
么	tk
龙	tl
向	tm
随	tn
费	to
翻	tp
被	tr
三	ts
我	tu
雨	tv
院	tw
隐	tx
用	ty
阿	tz
打	ua
白	ub
据	uc
的	ue
段	uf
工	ug
攻	uh
拉	ui
拾	uj
热	uk
摸	ul
击	um
皇	un
提	uo
找	up
看	uq
排	ur
手	us
拥	ut
推	uu
指	uv
项	uw
换	ux
掉	uy
报	uz
要	vb
票	vf
脚	vg
改	vh
已	vi
以	vj
导	vk
异	vl
然	vm
乃	vn
疑	vo
刘	vp
气	vq
股	vr
山	vs
这	vu
比	vv
文	vw
西	vx
月	vy
服	vz
安	wb
灾	wc
况	wd
次	we
写	wf
凉	wg
怎	wh
很	wi
家	wj
官	wk
宽	wl
头	wm
德	wn
得	wo
免	wp
寒	wq
彻	wr
客	ws
定	wt
五	wu
它	wv
实	ww
象	wx
页	wy
剩	xa
争	xb
厂	xc
和	xd
床	xe
后	xf
广	xg
意	xh
久	xi
科	xj
应	xk
色	xm
鸟	xn
负	xo
利	xp
反	xr
束	xs
解	xt
原	xu
岛	xv
危	xx
音	xy
顾	xz
当	yb
车	yc
点	yd
采	ye
上	yf
致	yh
至	yi
轮	yj
罗	yl
转	ym
置	yn
醒	yo
到	yp
曲	yq
轻	yr
四	ys
少	yt
连	yu
配	yv
爱	yw
小	yx
醉	yz
魔	za
离	zb
变	zc
某	ze
钱	zf
甘	zg
其	zh
率	zi
金	zj
可	zk
错	zl
麻	zm
针	zn
市	zr
身	zs
铁	zt
摩	zu
习	zx
哥	zz
慧	aab
乱	aae
效	abh
问	adk
司	afd
病	afm
壮	ags
麦	ahi
敌	ahp
泰	aik
春	aio
素	ais
奉	aiu
秦	aix
寿	akc
毒	akm
痛	akt
将	alk
奖	alm
状	amq
闭	ant
迅	anu
辞	anx
责	aob
疾	aos
